DEPT    .M	DEN     .g/cm3
839.87	2.235
839.92	2.247
839.97	2.235
840.02	2.231
840.07	2.241
840.12	2.262
840.17	2.284
840.22	2.297
840.27	2.306
840.32	2.318
840.37	2.346
840.42	2.384
840.47	2.416
840.52	2.436
840.57	2.441
840.62	2.426
840.67	2.421
840.72	2.419
840.77	2.406
840.82	2.374
840.87	2.331
840.92	2.289
840.97	2.254
841.02	2.239
841.07	2.223
841.12	2.209
841.17	2.19
841.22	2.174
841.27	2.172
841.32	2.177
841.37	2.193
841.42	2.202
841.47	2.203
841.52	2.195
841.57	2.202
841.62	2.203
841.67	2.201
841.72	2.21
841.77	2.222
841.82	2.219
841.87	2.237
841.92	2.252
841.97	2.277
842.02	2.288
842.07	2.298
842.12	2.309
842.17	2.311
842.22	2.315
842.27	2.322
842.32	2.319
842.37	2.313
842.42	2.308
842.47	2.308
842.52	2.317
842.57	2.316
842.62	2.323
842.67	2.325
842.72	2.322
842.77	2.333
842.82	2.317
842.87	2.298
842.92	2.284
842.97	2.274
843.02	2.265
843.07	2.244
843.12	2.243
843.17	2.235
843.22	2.222
843.27	2.214
843.32	2.24
843.37	2.252
843.42	2.272
843.47	2.282
843.52	2.29
843.57	2.299
843.62	2.309
843.67	2.322
843.72	2.335
843.77	2.338
843.82	2.338
843.87	2.331
843.92	2.324
843.97	2.316
844.02	2.315
844.07	2.322
844.12	2.335
844.17	2.343
844.22	2.346
844.27	2.343
844.32	2.339
844.37	2.337
844.42	2.331
844.47	2.328
844.52	2.327
844.57	2.324
844.62	2.318
844.67	2.302
844.72	2.294
844.77	2.288
844.82	2.295
844.87	2.301
844.92	2.3
844.97	2.293
845.02	2.285
845.07	2.286
845.12	2.286
845.17	2.29
845.22	2.293
845.27	2.296
845.32	2.296
845.37	2.296
845.42	2.284
845.47	2.276
845.52	2.275
845.57	2.279
845.62	2.283
845.67	2.282
845.72	2.271
845.77	2.257
845.82	2.236
845.87	2.213
845.92	2.189
845.97	2.17
846.02	2.159
846.07	2.159
846.12	2.169
846.17	2.185
846.22	2.208
846.27	2.231
846.32	2.251
846.37	2.26
846.42	2.26
846.47	2.255
846.52	2.255
846.57	2.25
846.62	2.249
846.67	2.25
846.72	2.25
846.77	2.251
846.82	2.251
846.87	2.258
846.92	2.268
846.97	2.289
847.02	2.308
847.07	2.315
847.12	2.308
847.17	2.293
847.22	2.282
847.27	2.278
847.32	2.273
847.37	2.256
847.42	2.229
847.47	2.209
847.52	2.199
847.57	2.213
847.62	2.224
847.67	2.233
847.72	2.233
847.77	2.225
847.82	2.221
847.87	2.208
847.92	2.195
847.97	2.18
848.02	2.174
848.07	2.178
848.12	2.193
848.17	2.21
848.22	2.223
848.27	2.234
848.32	2.251
848.37	2.264
848.42	2.261
848.47	2.271
848.52	2.271
848.57	2.267
848.62	2.275
